owner,fish_id,master_csv,conf_func_csv,ring,plot_order,bpi_category,identity_bucket,count,n_total_responsive
Matilde,L396_f03,/Volumes/jlarsch/default/D2c/07_Data/Matilde/Microscopy/L396_f03/03_analysis/functional/registration/functional_roi_activity_identity.csv,/Volumes/jlarsch/default/D2c/07_Data/Matilde/Microscopy/L396_f03/03_analysis/functional/registration/conf_to_func_pairs.csv,outer,11,weak-response,sst1.1/sst1.2,2,326
Matilde,L396_f03,/Volumes/jlarsch/default/D2c/07_Data/Matilde/Microscopy/L396_f03/03_analysis/functional/registration/functional_roi_activity_identity.csv,/Volumes/jlarsch/default/D2c/07_Data/Matilde/Microscopy/L396_f03/03_analysis/functional/registration/conf_to_func_pairs.csv,outer,12,weak-response,sst1.1/sst1.2/pth2,2,326
Matilde,L396_f03,/Volumes/jlarsch/default/D2c/07_Data/Matilde/Microscopy/L396_f03/03_analysis/functional/registration/functional_roi_activity_identity.csv,/Volumes/jlarsch/default/D2c/07_Data/Matilde/Microscopy/L396_f03/03_analysis/functional/registration/conf_to_func_pairs.csv,outer,13,weak-response,sst1.1/pth2,1,326
Matilde,L396_f03,/Volumes/jlarsch/default/D2c/07_Data/Matilde/Microscopy/L396_f03/03_analysis/functional/registration/functional_roi_activity_identity.csv,/Volumes/jlarsch/default/D2c/07_Data/Matilde/Microscopy/L396_f03/03_analysis/functional/registration/conf_to_func_pairs.csv,outer,14,weak-response,sst1.2/tac3b,1,326
Matilde,L396_f03,/Volumes/jlarsch/default/D2c/07_Data/Matilde/Microscopy/L396_f03/03_analysis/functional/registration/functional_roi_activity_identity.csv,/Volumes/jlarsch/default/D2c/07_Data/Matilde/Microscopy/L396_f03/03_analysis/functional/registration/conf_to_func_pairs.csv,outer,15,weak-response,sst1.2/pth2,4,326
Matilde,L396_f03,/Volumes/jlarsch/default/D2c/07_Data/Matilde/Microscopy/L396_f03/03_analysis/functional/registration/functional_roi_activity_identity.csv,/Volumes/jlarsch/default/D2c/07_Data/Matilde/Microscopy/L396_f03/03_analysis/functional/registration/conf_to_func_pairs.csv,outer,16,weak-response,unidentified,213,326
Matilde,L396_f04,/Volumes/jlarsch/default/D2c/07_Data/Matilde/Microscopy/L396_f04/03_analysis/functional/registration/functional_roi_activity_identity.csv,/Volumes/jlarsch/default/D2c/07_Data/Matilde/Microscopy/L396_f04/03_analysis/functional/registration/conf_to_func_pairs.csv,inner,0,bout-responsive,,213,785
Matilde,L396_f04,/Volumes/jlarsch/default/D2c/07_Data/Matilde/Microscopy/L396_f04/03_analysis/functional/registration/functional_roi_activity_identity.csv,/Volumes/jlarsch/default/D2c/07_Data/Matilde/Microscopy/L396_f04/03_analysis/functional/registration/conf_to_func_pairs.csv,inner,1,continuous-responsive,,13,785
Matilde,L396_f04,/Volumes/jlarsch/default/D2c/07_Data/Matilde/Microscopy/L396_f04/03_analysis/functional/registration/functional_roi_activity_identity.csv,/Volumes/jlarsch/default/D2c/07_Data/Matilde/Microscopy/L396_f04/03_analysis/functional/registration/conf_to_func_pairs.csv,inner,2,both-responsive,,119,785
Matilde,L396_f04,/Volumes/jlarsch/default/D2c/07_Data/Matilde/Microscopy/L396_f04/03_analysis/functional/registration/functional_roi_activity_identity.csv,/Volumes/jlarsch/default/D2c/07_Data/Matilde/Microscopy/L396_f04/03_analysis/functional/registration/conf_to_func_pairs.csv,inner,3,weak-response,,440,785
