dataset,z_um,y_um,x_um
2P (mCherry),10.306382978723404,330.46614112340427,52.1217437106383
2P (mCherry),8.099476439790577,344.7240616649215,40.96193481675393
2P (mCherry),10.530232558139534,346.7361337674419,35.96880507906977
2P (mCherry),18.667582417582416,117.43548357692309,95.75225423076922
2P (mCherry),14.077922077922079,306.30213472727274,69.73203236363636
2P (mCherry),9.166666666666666,315.9962617,65.7887279
2P (mCherry),14.936040609137056,259.2368681177665,93.9187718923858
2P (mCherry),19.2,276.2949667140496,85.43258334545455
2P (mCherry),13.919540229885058,301.81756306896557,72.77992303448276
2P (mCherry),13.411764705882353,303.5087843529412,71.5429054117647
2P (mCherry),16.967741935483872,309.411237483871,67.01106774193549
2P (mCherry),16.345323741007196,380.8338644892086,261.0398440143885
2P (mCherry),13.609756097560975,382.89898141463414,256.3133303414634
2P (mCherry),17.1,384.56097680000005,253.26545720000001
2P (mCherry),14.25,8.50688265,36.19084875
2P (mCherry),18.09800918836141,190.0433982174579,106.19884703522206
2P (mCherry),19.89189189189189,311.4017567027027,64.68413586486487
2P (mCherry),26.978193146417446,324.8980273130841,51.83795314953271
2P (mCherry),17.948051948051948,365.1989167272728,13.78699
2P (mCherry),17.789473684210527,171.90974186842107,106.17551782894738
2P (mCherry),23.838461538461537,344.95477961538467,32.86141578461539
2P (mCherry),16.666666666666668,11.19612025,40.338564000000005
2P (mCherry),23.28605654048874,36.72039489027312,56.70231521226641
2P (mCherry),17.20754716981132,84.5317564528302,85.48927562264151
2P (mCherry),18.266666666666666,97.92403285,90.07048312500001
2P (mCherry),18.24137931034483,208.32617303448276,105.2698917586207
2P (mCherry),24.821002386634845,76.27184252505967,79.90072943198092
2P (mCherry),22.927152317880793,106.82696189403974,91.59982184105961
2P (mCherry),19.661538461538463,131.18541433846156,98.94459184615384
2P (mCherry),23.91025641025641,219.7517511538462,100.40849134615384
2P (mCherry),30.647058823529413,211.73440513235295,101.3630804117647
2P (mCherry),25.275,360.53404852500006,18.193017675
2P (mCherry),23.607843137254903,379.3891697647059,347.01115729411765
2P (mCherry),27.78723404255319,380.28163748936174,356.1347940425532
2P (mCherry),26.39240506329114,386.0563093037975,384.21425292405064
2P (mCherry),31.801217038539555,388.83572610547674,392.83579767139963
2P (mCherry),32.34894991922456,401.0301571211632,427.6678200387722
2P (mCherry),26.934426229508198,351.5838629754099,25.16093931147541
2P (mCherry),33.68406004288778,380.1939188448892,272.91011804860614
2P (mCherry),26.310344827586206,93.33621294827586,86.84681937931035
2P (mCherry),26.05128205128205,110.98944015384616,91.90452815384616
2P (mCherry),31.113846153846154,190.72833786461538,102.44794107692307
2P (mCherry),27.26530612244898,227.39902800000002,98.6650242857143
2P (mCherry),26.11111111111111,341.21509333333336,35.964938333333336
2P (mCherry),26.0,348.08277000000004,28.387665157894737
2P (mCherry),30.965753424657535,378.12056171917806,297.3966424109589
2P (mCherry),31.97107438016529,392.79421285537194,405.8456364049587
2P (mCherry),32.71862615587847,406.3130092628798,437.8264917622193
2P (mCherry),30.07843137254902,377.46281835294116,288.9782263529412
2P (mCherry),36.10334346504559,390.88736936170216,398.8451290212766
2P (mCherry),34.34798534798535,417.33826453846154,454.06980876923075
2P (mCherry),35.523632993512514,7.241863039851715,19.510218194624652
2P (mCherry),29.055555555555557,61.91752700000001,70.77321533333333
2P (mCherry),31.910669975186103,154.43958099751862,100.56872517617866
2P (mCherry),32.82857142857143,25.281312,45.822378
2P (mCherry),31.166666666666668,250.96388187500003,92.944063625
2P (mCherry),44.715025906735754,378.9114652849741,300.937958238342
2P (mCherry),30.083333333333332,7.482153,449.037617
2P (mCherry),30.11764705882353,7.577832705882353,472.27502823529414
2P (mCherry),30.17391304347826,11.654620173913045,482.5917965217392
2P (mCherry),30.0,11.67292411764706,460.9848229411765
2P (mCherry),30.0,15.289617000000002,448.92918000000003
2P (mCherry),30.083333333333332,15.8860205,472.02626100000003
2P (mCherry),30.0,18.991966,482.730542
2P (mCherry),30.0,19.575235826086956,461.37586173913047
2P (mCherry),30.0,27.702799894736845,460.9143221052632
2P (mCherry),30.0,27.799303636363636,482.2291969090909
2P (mCherry),30.0,31.3925115,448.9059435
2P (mCherry),30.0,31.538045368421052,472.5912748421053
2P (mCherry),30.0,35.824873875,461.1893383125
2P (mCherry),30.0,35.33904757894737,481.83695589473683
2P (mCherry),30.0,39.409104,448.9524165
2P (mCherry),30.0,39.440086,472.56844600000005
2P (mCherry),30.142857142857142,43.731093,461.662782
2P (mCherry),30.14814814814815,43.76035377777777,482.3518731111111
2P (mCherry),30.0,43.880839333333334,406.1688563333334
2P (mCherry),30.0,87.75264225000001,448.92918000000003
2P (mCherry),30.0,159.97646823529413,472.0453969411765
2P (mCherry),30.0,191.32624280000002,472.17807280000005
2P (mCherry),43.3089430894309,386.033075195122,248.02980146341466
2P (mCherry),40.36595744680851,100.13487870638298,83.98837868936171
